
=== SIMULATING 10 GAMES ===
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> DRIVE
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Luka] P:148.5 S:159.4 D:107.4 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Luka] P:148.5 S:159.4 D:107.4 -> SHOOT
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS
[Nikola] P:463.3 S:24.3 D:139.6 -> PASS

Avg Score: WST 106.7 - EST 106.3

--- SEASON AVERAGES (Sorted by PPG) ---
NAME                | PPG   | RPG   | APG  | BPG  | FG%   | FT%   | FGA  | FTA
Jokic               |  38.9 |   4.9 | 15.5 |  0.0 |  68.5 |  84.8 | 23.5 |  7.9
Doncic              |  32.4 |   4.2 |  6.9 |  0.0 |  62.1 |  84.1 | 21.4 |  6.9
Wembanyama          |  31.4 |   5.4 |  0.6 |  2.5 |  66.0 |  80.7 | 20.3 |  5.7
Gilgeous-Alexander  |  25.4 |   5.2 |  0.0 |  0.0 |  66.9 |  93.0 | 16.0 |  4.3
Maxey               |  19.2 |   5.5 |  0.0 |  0.0 |  49.3 |  87.0 | 14.2 |  2.3
Mitchell            |  16.9 |   4.5 |  0.0 |  0.0 |  56.7 |  87.5 | 10.4 |  3.2
Gobert              |  10.8 |   4.5 |  0.2 |  3.0 |  52.9 |  78.3 |  6.8 |  4.6
Def                 |   8.9 |   3.0 |  1.1 |  0.0 |  48.1 |  83.3 |  7.7 |  1.8
Giddey              |   8.6 |   5.9 |  7.8 |  0.0 |  53.1 |  94.7 |  6.4 |  1.9
Scorer              |   7.8 |   2.8 |  0.1 |  0.0 |  37.2 |  87.5 |  8.6 |  1.6
Wing                |   7.1 |   2.1 |  0.6 |  0.0 |  43.1 | 100.0 |  5.8 |  1.2
Cunningham          |   6.7 |   5.5 | 11.5 |  0.0 |  47.6 |  70.0 |  6.3 |  1.0
Wing                |   5.6 |   3.1 |  0.7 |  0.0 |  33.3 | 100.0 |  5.7 |  0.7
Ayton               |   5.5 |   5.7 |  0.5 |  0.0 |  52.0 |  75.0 |  5.0 |  0.4
Def                 |   4.5 |   2.9 |  1.6 |  0.0 |  36.5 |  87.5 |  5.2 |  0.8
Sarr                |   3.9 |   2.9 |  1.9 |  0.7 |  40.0 |  84.6 |  3.5 |  1.3
Big                 |   2.8 |   2.6 |  0.5 |  0.0 |  70.0 |   0.0 |  2.0 |  0.0
Guard               |   2.6 |   2.2 |  3.9 |  0.0 |  32.3 |  66.7 |  3.1 |  0.9
Guard               |   1.4 |   1.5 |  3.1 |  0.0 |  23.8 |  66.7 |  2.1 |  0.6
Big                 |   0.8 |   3.3 |  0.4 |  0.0 |  66.7 |   0.0 |  0.6 |  0.0
